agent_type,reward_function,run_number,avg_final_state,avg_avg_state,avg_accuracy,avg_engagement,avg_questions_answered
bandit,composite_time,27,2.0275,2.014696081260236,0.38705532491779365,0.5393889867707482,18.44
bandit,composite_time,28,2.0775,2.049272564917232,0.39004707621037704,0.5375064473846934,17.62
bandit,composite_time,29,2.0525,2.061412158394447,0.39132441972256143,0.5387218701470716,18.205
bandit,composite_time,30,2.045,1.9972558379103362,0.3997723174130361,0.5348763314778358,19.9425
pomdp,correctness,1,2.0725,2.1015139709060775,0.46984165969960967,0.2838530286610418,15.705
pomdp,correctness,2,2.075,2.1019388178356477,0.4731170268112828,0.2885837432791615,17.445
pomdp,correctness,3,2.01,2.051407856648083,0.48294756207472406,0.29767040131890715,17.4125
pomdp,correctness,4,2.1625,2.1637984114495366,0.4467309735120281,0.2934577660464345,19.5575
pomdp,correctness,5,2.075,2.0942385474014986,0.44698950054656594,0.27525505244835896,17.3
pomdp,correctness,6,2.06,2.0698577788622954,0.4594517412482632,0.31114594351081226,17.9825
pomdp,correctness,7,2.055,2.0798997813811684,0.47143312066407944,0.2856764516620347,17.69
pomdp,correctness,8,2.065,2.063164736584132,0.46439042326984514,0.29541966424010796,19.13
pomdp,correctness,9,2.035,2.047086840957349,0.46567256389968037,0.28246139409990073,21.2725
pomdp,correctness,10,2.09,2.115918490420699,0.42997556849877383,0.2937357257067289,15.9525
pomdp,correctness,11,2.095,2.1209696214756444,0.4529812343118222,0.30771746596928595,15.265
pomdp,correctness,12,1.9375,1.9432054641105143,0.46783277862624856,0.2604834361834812,16.18
pomdp,correctness,13,2.1775,2.164112150668627,0.43287131394092143,0.2940625014756141,16.73
pomdp,correctness,14,2.06,2.0775549444951147,0.4665558871479778,0.2845644458764751,17.1075
pomdp,correctness,15,2.075,2.091766042684171,0.45588517721289223,0.2945427365056733,18.4525
pomdp,correctness,16,2.09,2.101896599852602,0.4714655343704554,0.30190924226022436,20.5225
pomdp,correctness,17,2.065,2.0813578380041626,0.481269346993041,0.2808320227523742,19.055
pomdp,correctness,18,2.035,2.0631532886391035,0.4494961533703888,0.2977090827588572,18.89
pomdp,correctness,19,2.0125,1.9985318216902448,0.517830792115997,0.28618182181151725,18.83
pomdp,correctness,20,2.0775,2.079372567427087,0.45779166281383754,0.3053403359450253,19.635
pomdp,correctness,21,2.1725,2.1706220885442984,0.44570099043287426,0.3010620240188534,18.1375
pomdp,correctness,22,2.1875,2.194205271639997,0.48527496194954994,0.2898788756957119,19.0575
pomdp,correctness,23,1.965,1.978193979485381,0.44838859236416484,0.30108719134700773,18.195
pomdp,correctness,24,1.97,1.9797698523574059,0.4614152473843723,0.29736491135419263,20.075
pomdp,correctness,25,2.16,2.167265578482033,0.4756986527693273,0.302251666147067,19.42
pomdp,correctness,26,2.1575,2.16502264076744,0.466809531936201,0.28807094426574353,18.81
pomdp,correctness,27,2.11,2.14101747598063,0.47911827796086326,0.2960598553342182,20.99
pomdp,correctness,28,2.07,2.101182878068359,0.4613643981188912,0.30399615542951286,21.72
pomdp,correctness,29,2.0625,2.0880242902792685,0.4806908409044729,0.31408464646548884,20.365
pomdp,correctness,30,1.975,2.00950892978023,0.47049320607951783,0.2893140258654462,17.8925
pomdp,engagement,1,1.91,1.9206286462786613,0.42179988222226145,0.559542219338009,21.3375
pomdp,engagement,2,1.8675,1.9378282020979856,0.3936906841815717,0.5466887269604693,17.3275
pomdp,engagement,3,1.9925,2.0275127873223564,0.3761681914616888,0.499276001195356,16.7825
pomdp,engagement,4,1.9175,1.958210722623171,0.4244640736326359,0.5663571672987919,21.0575
pomdp,engagement,5,2.075,2.124366849142523,0.40341181013862387,0.514493164598508,18.0475
pomdp,engagement,6,1.855,1.8966002807225544,0.404983391912333,0.5543935375107105,18.515
pomdp,engagement,7,1.9275,1.9671742340005591,0.399949179569273,0.5478971086398245,18.295
pomdp,engagement,8,1.845,1.9379919631094242,0.4190961362242078,0.5495403777459782,20.115
pomdp,engagement,9,1.855,1.9129288542921972,0.39329406992046145,0.5534300479476816,20.5225
pomdp,engagement,10,1.835,1.8763590813046698,0.42383291271538004,0.5666642413635645,22.6475
pomdp,engagement,11,1.9625,1.9710293289569263,0.40159239925730006,0.5216687084308236,19.15
pomdp,engagement,12,1.9025,1.953980534925268,0.40832684100839806,0.5451254770820771,22.68
pomdp,engagement,13,1.8475,1.8936521608329822,0.41846164351254056,0.5433205818062651,20.1475
pomdp,engagement,14,1.8875,1.910082823271398,0.38711060481377774,0.5211329819531706,18.715
pomdp,engagement,15,1.8125,1.873586889839366,0.39740980769111345,0.5269201091774905,18.0625
pomdp,engagement,16,1.87,1.9246743426469874,0.3855725648107633,0.5325883899405468,20.2675
pomdp,engagement,17,1.9425,1.9991262444331044,0.38076039598015327,0.5206388480399504,18.76
pomdp,engagement,18,1.865,1.915759658397379,0.3905687705759409,0.5349660345094351,20.2975
pomdp,engagement,19,1.8275,1.8797287531188862,0.41668040160046244,0.5844194129919922,20.45
pomdp,engagement,20,1.985,2.0690841763497514,0.3990444966953382,0.5245264542719379,18.0
pomdp,engagement,21,1.945,1.997049472476482,0.39152471164023567,0.534012478604166,18.5825
pomdp,engagement,22,1.9175,1.9600916418364844,0.42047566562485755,0.5485540061016995,22.4225
pomdp,engagement,23,1.8925,1.927663332453671,0.3834577491030619,0.5476444086532807,20.6325
pomdp,engagement,24,2.005,2.070779140841662,0.39042570347814076,0.534465477180583,15.93
pomdp,engagement,25,1.7975,1.8667678327851382,0.4058225954958321,0.5466119909061555,21.64
pomdp,engagement,26,1.925,1.9688690213403117,0.40812989119362564,0.549949443525927,20.0175
pomdp,engagement,27,1.97,2.005903871826746,0.39585623650180607,0.5276582751328952,18.2525
pomdp,engagement,28,1.845,1.9073917628598296,0.41888947577147334,0.572500597188198,22.7375
pomdp,engagement,29,1.92,1.9718320430500955,0.385742636079896,0.5287605215602472,17.92
pomdp,engagement,30,1.9725,2.0461927382560146,0.4017256307514588,0.5305923833045028,19.165
pomdp,composite,1,1.9975,2.0102775173797083,0.46542295762619973,0.48802396279706417,17.1325
pomdp,composite,2,2.02,2.0430275131153666,0.47330913971306643,0.46921987296870454,16.0025
pomdp,composite,3,2.0575,2.0694836817465903,0.4590479780677701,0.46123534122266013,16.7475
pomdp,composite,4,2.0225,2.0675821646728836,0.45101968879089627,0.4816852963039888,18.275
pomdp,composite,5,2.0525,2.1222063183176987,0.47234345397123023,0.4601732549446384,18.0425
pomdp,composite,6,2.1275,2.1617373880926567,0.49415390797582937,0.39122644089483494,12.495
pomdp,composite,7,2.0175,2.044902580514594,0.4779185152676119,0.4719454652839042,18.155
pomdp,composite,8,2.035,2.0680944946771156,0.48409483156837924,0.46679655120679825,18.5925
pomdp,composite,9,1.8975,1.9071215207784915,0.4768613587149851,0.4738628343818908,19.28
